START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/04/15,01:10 PM,03:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick,,03/04/15,03/04/15,04:10 PM,06:10 PM,FALSE,TRUE,03/04/15,12:10 PM,02:10 PM,FREE,BUSY
03/05/15,01:10 PM,03:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick,,03/05/15,03/05/15,04:10 PM,06:10 PM,FALSE,TRUE,03/05/15,12:10 PM,02:10 PM,FREE,BUSY
03/06/15,01:10 PM,03:10 PM,Rockies at Angels,Tempe Diablo Stadium,"Local TV: MLBN (delay)",03/06/15,03/06/15,04:10 PM,06:10 PM,FALSE,TRUE,03/06/15,12:10 PM,02:10 PM,FREE,BUSY
03/07/15,01:10 PM,03:10 PM,Cubs at Rockies,Salt River Fields at Talking Stick,,03/07/15,03/07/15,04:10 PM,06:10 PM,FALSE,TRUE,03/07/15,12:10 PM,02:10 PM,FREE,BUSY
03/08/15,02:05 PM,04:05 PM,Rockies at Padres,Peoria Stadium,"Local TV: MLBN",03/08/15,03/08/15,05:05 PM,07:05 PM,FALSE,TRUE,03/08/15,01:05 PM,03:05 PM,FREE,BUSY
03/09/15,02:10 PM,04:10 PM,Reds at Rockies,Salt River Fields at Talking Stick,,03/09/15,03/09/15,05:10 PM,07:10 PM,FALSE,TRUE,03/09/15,01:10 PM,03:10 PM,FREE,BUSY
03/10/15,02:05 PM,04:05 PM,Rockies at Dodgers,Camelback Ranch,"Local TV: MLBN (delay)",03/10/15,03/10/15,05:05 PM,07:05 PM,FALSE,TRUE,03/10/15,01:05 PM,03:05 PM,FREE,BUSY
03/10/15,02:10 PM,04:10 PM,Mariners at Rockies,Salt River Fields at Talking Stick,"Local Radio: MLB.com",03/10/15,03/10/15,05:10 PM,07:10 PM,FALSE,TRUE,03/10/15,01:10 PM,03:10 PM,FREE,BUSY
03/11/15,02:05 PM,04:05 PM,Rockies at Mariners,Peoria Stadium,"Local TV: MLBN (delay) ----- Local Radio: MLB.com",03/11/15,03/11/15,05:05 PM,07:05 PM,FALSE,TRUE,03/11/15,01:05 PM,03:05 PM,FREE,BUSY
03/12/15,02:05 PM,04:05 PM,Rockies at Brewers,Maryvale Baseball Park,,03/12/15,03/12/15,05:05 PM,07:05 PM,FALSE,TRUE,03/12/15,01:05 PM,03:05 PM,FREE,BUSY
03/13/15,02:10 PM,04:10 PM,White Sox at Rockies,Salt River Fields at Talking Stick,"Local Radio: KOA 850",03/13/15,03/13/15,05:10 PM,07:10 PM,FALSE,TRUE,03/13/15,01:10 PM,03:10 PM,FREE,BUSY
03/14/15,02:05 PM,04:05 PM,Rockies at Reds,Goodyear Ballpark,,03/14/15,03/14/15,05:05 PM,07:05 PM,FALSE,TRUE,03/14/15,01:05 PM,03:05 PM,FREE,BUSY
03/15/15,02:10 PM,04:10 PM,Royals at Rockies,Salt River Fields at Talking Stick,,03/15/15,03/15/15,05:10 PM,07:10 PM,FALSE,TRUE,03/15/15,01:10 PM,03:10 PM,FREE,BUSY
03/17/15,02:10 PM,04:10 PM,Angels at Rockies,Salt River Fields at Talking Stick,"Local TV: MLBN",03/17/15,03/17/15,05:10 PM,07:10 PM,FALSE,TRUE,03/17/15,01:10 PM,03:10 PM,FREE,BUSY
03/18/15,02:10 PM,04:10 PM,Padres at Rockies,Salt River Fields at Talking Stick,,03/18/15,03/18/15,05:10 PM,07:10 PM,FALSE,TRUE,03/18/15,01:10 PM,03:10 PM,FREE,BUSY
03/18/15,08:10 PM,10:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick,,03/18/15,03/19/15,11:10 PM,01:10 AM,FALSE,TRUE,03/18/15,07:10 PM,09:10 PM,FREE,BUSY
03/19/15,02:05 PM,04:05 PM,Rockies at Royals,Surprise Stadium,,03/19/15,03/19/15,05:05 PM,07:05 PM,FALSE,TRUE,03/19/15,01:05 PM,03:05 PM,FREE,BUSY
03/20/15,02:10 PM,04:10 PM,Athletics at Rockies,Salt River Fields at Talking Stick,"Local TV: ROOT SPORTS -- MLBN (delay)",03/20/15,03/20/15,05:10 PM,07:10 PM,FALSE,TRUE,03/20/15,01:10 PM,03:10 PM,FREE,BUSY
03/21/15,02:05 PM,04:05 PM,Rockies at Indians,Goodyear Ballpark,,03/21/15,03/21/15,05:05 PM,07:05 PM,FALSE,TRUE,03/21/15,01:05 PM,03:05 PM,FREE,BUSY
03/21/15,02:10 PM,04:10 PM,Dodgers at Rockies,Salt River Fields at Talking Stick,"Local TV: ROOT SPORTS",03/21/15,03/21/15,05:10 PM,07:10 PM,FALSE,TRUE,03/21/15,01:10 PM,03:10 PM,FREE,BUSY
03/22/15,02:10 PM,04:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick,"Local TV: ROOT SPORTS -- MLBN (delay)",03/22/15,03/22/15,05:10 PM,07:10 PM,FALSE,TRUE,03/22/15,01:10 PM,03:10 PM,FREE,BUSY
03/23/15,02:10 PM,04:10 PM,Brewers at Rockies,Salt River Fields at Talking Stick,,03/23/15,03/23/15,05:10 PM,07:10 PM,FALSE,TRUE,03/23/15,01:10 PM,03:10 PM,FREE,BUSY
