START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/17/22,01:10 PM,04:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/17/22,03/17/22,04:10 PM,07:10 PM,FALSE,TRUE,03/17/22,12:10 PM,03:10 PM,FREE,BUSY
03/18/22,02:10 PM,04:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick - Scottsdale,"",03/18/22,03/18/22,05:10 PM,07:10 PM,FALSE,TRUE,03/18/22,01:10 PM,03:10 PM,FREE,BUSY
03/19/22,01:10 PM,04:10 PM,Giants at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: KOA 850 AM/94.1 FM ",03/19/22,03/19/22,04:10 PM,07:10 PM,FALSE,TRUE,03/19/22,12:10 PM,03:10 PM,FREE,BUSY
03/20/22,01:10 PM,04:10 PM,White Sox at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: KOA 850 AM/94.1 FM ",03/20/22,03/20/22,04:10 PM,07:10 PM,FALSE,TRUE,03/20/22,12:10 PM,03:10 PM,FREE,BUSY
03/21/22,02:10 PM,04:10 PM,Rockies at Padres,Peoria Stadium - Peoria,"",03/21/22,03/21/22,05:10 PM,07:10 PM,FALSE,TRUE,03/21/22,01:10 PM,03:10 PM,FREE,BUSY
03/22/22,02:10 PM,04:10 PM,Rockies at Angels,Tempe Diablo Stadium - Tempe,"",03/22/22,03/22/22,05:10 PM,07:10 PM,FALSE,TRUE,03/22/22,01:10 PM,03:10 PM,FREE,BUSY
03/23/22,01:10 PM,04:10 PM,Royals at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/23/22,03/23/22,04:10 PM,07:10 PM,FALSE,TRUE,03/23/22,12:10 PM,03:10 PM,FREE,BUSY
03/24/22,01:10 PM,04:10 PM,Dodgers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/24/22,03/24/22,04:10 PM,07:10 PM,FALSE,TRUE,03/24/22,12:10 PM,03:10 PM,FREE,BUSY
03/25/22,02:05 PM,04:05 PM,Rockies at Cubs,Sloan Park - Mesa,"Local Radio: KOA 850 AM/94.1 FM ",03/25/22,03/25/22,05:05 PM,07:05 PM,FALSE,TRUE,03/25/22,01:05 PM,03:05 PM,FREE,BUSY
03/26/22,01:10 PM,04:10 PM,Rangers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: ATT SportsNet-RM",03/26/22,03/26/22,04:10 PM,07:10 PM,FALSE,TRUE,03/26/22,12:10 PM,03:10 PM,FREE,BUSY
