START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/23,01:10 PM,03:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick - Scottsdale,"",02/25/23,02/25/23,04:10 PM,06:10 PM,FALSE,TRUE,02/25/23,12:10 PM,02:10 PM,FREE,BUSY
02/26/23,01:10 PM,03:10 PM,Brewers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",02/26/23,02/26/23,04:10 PM,06:10 PM,FALSE,TRUE,02/26/23,12:10 PM,02:10 PM,FREE,BUSY
02/27/23,01:05 PM,03:05 PM,Rockies at Athletics,Hohokam Stadium - Mesa,"Local Radio: KOA 850 AM/94.1 FM ",02/27/23,02/27/23,04:05 PM,06:05 PM,FALSE,TRUE,02/27/23,12:05 PM,02:05 PM,FREE,BUSY
02/28/23,01:05 PM,03:05 PM,Rockies at Rangers,Surprise Stadium - Surprise,"",02/28/23,02/28/23,04:05 PM,06:05 PM,FALSE,TRUE,02/28/23,12:05 PM,02:05 PM,FREE,BUSY
03/01/23,01:10 PM,03:10 PM,Royals at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/01/23,03/01/23,04:10 PM,06:10 PM,FALSE,TRUE,03/01/23,12:10 PM,02:10 PM,FREE,BUSY
03/02/23,01:10 PM,03:10 PM,White Sox at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: KOA 850 AM/94.1 FM ",03/02/23,03/02/23,04:10 PM,06:10 PM,FALSE,TRUE,03/02/23,12:10 PM,02:10 PM,FREE,BUSY
03/03/23,01:05 PM,03:05 PM,Rockies at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KOA 850 AM/94.1 FM ",03/03/23,03/03/23,04:05 PM,06:05 PM,FALSE,TRUE,03/03/23,12:05 PM,02:05 PM,FREE,BUSY
03/04/23,01:10 PM,03:10 PM,Rockies at Mariners,Peoria Stadium - Peoria,"",03/04/23,03/04/23,04:10 PM,06:10 PM,FALSE,TRUE,03/04/23,12:10 PM,02:10 PM,FREE,BUSY
03/05/23,01:10 PM,03:10 PM,Cubs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: KOA 850 AM/94.1 FM ",03/05/23,03/05/23,04:10 PM,06:10 PM,FALSE,TRUE,03/05/23,12:10 PM,02:10 PM,FREE,BUSY
03/06/23,06:05 PM,08:05 PM,Rockies at Reds,Goodyear Ballpark - Goodyear,"",03/06/23,03/06/23,09:05 PM,11:05 PM,FALSE,TRUE,03/06/23,05:05 PM,07:05 PM,FREE,BUSY
03/06/23,01:10 PM,03:10 PM,Rangers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/06/23,03/06/23,04:10 PM,06:10 PM,FALSE,TRUE,03/06/23,12:10 PM,02:10 PM,FREE,BUSY
03/08/23,01:10 PM,03:10 PM,Rockies at Angels,Tempe Diablo Stadium - Tempe,"",03/08/23,03/08/23,04:10 PM,06:10 PM,FALSE,TRUE,03/08/23,12:10 PM,02:10 PM,FREE,BUSY
03/09/23,01:10 PM,03:10 PM,Mexico at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/09/23,03/09/23,04:10 PM,06:10 PM,FALSE,TRUE,03/09/23,12:10 PM,02:10 PM,FREE,BUSY
03/10/23,01:10 PM,03:10 PM,Giants at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/10/23,03/10/23,04:10 PM,06:10 PM,FALSE,TRUE,03/10/23,12:10 PM,02:10 PM,FREE,BUSY
03/11/23,01:10 PM,03:10 PM,Mariners at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: ATT SportsNet-RM",03/11/23,03/11/23,04:10 PM,06:10 PM,FALSE,TRUE,03/11/23,12:10 PM,02:10 PM,FREE,BUSY
03/12/23,02:10 PM,04:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick - Scottsdale,"",03/12/23,03/12/23,05:10 PM,07:10 PM,FALSE,TRUE,03/12/23,01:10 PM,03:10 PM,FREE,BUSY
03/13/23,01:10 PM,04:10 PM,Athletics at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/13/23,03/13/23,04:10 PM,07:10 PM,FALSE,TRUE,03/13/23,12:10 PM,03:10 PM,FREE,BUSY
03/14/23,07:05 PM,09:05 PM,Rockies at Cubs,Sloan Park - Mesa,"",03/14/23,03/15/23,10:05 PM,12:05 AM,FALSE,TRUE,03/14/23,06:05 PM,08:05 PM,FREE,BUSY
03/16/23,01:10 PM,04:10 PM,Padres at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/16/23,03/16/23,04:10 PM,07:10 PM,FALSE,TRUE,03/16/23,12:10 PM,03:10 PM,FREE,BUSY
03/17/23,01:10 PM,04:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/17/23,03/17/23,04:10 PM,07:10 PM,FALSE,TRUE,03/17/23,12:10 PM,03:10 PM,FREE,BUSY
03/18/23,02:05 PM,04:05 PM,Rockies at Royals,Surprise Stadium - Surprise,"",03/18/23,03/18/23,05:05 PM,07:05 PM,FALSE,TRUE,03/18/23,01:05 PM,03:05 PM,FREE,BUSY
03/18/23,01:10 PM,04:10 PM,Royals at Rockies,Las Vegas Ballpark - Summerlin,"",03/18/23,03/18/23,04:10 PM,07:10 PM,FALSE,TRUE,03/18/23,12:10 PM,03:10 PM,FREE,BUSY
03/19/23,02:10 PM,04:10 PM,Rockies at Royals,Las Vegas Ballpark - Summerlin,"",03/19/23,03/19/23,05:10 PM,07:10 PM,FALSE,TRUE,03/19/23,01:10 PM,03:10 PM,FREE,BUSY
03/19/23,02:05 PM,04:05 PM,Rockies at Guardians,Goodyear Ballpark - Goodyear,"",03/19/23,03/19/23,05:05 PM,07:05 PM,FALSE,TRUE,03/19/23,01:05 PM,03:05 PM,FREE,BUSY
03/20/23,06:40 PM,09:40 PM,Dodgers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/20/23,03/21/23,09:40 PM,12:40 AM,FALSE,TRUE,03/20/23,05:40 PM,08:40 PM,FREE,BUSY
03/21/23,07:40 PM,09:40 PM,Rockies at Padres,Peoria Stadium - Peoria,"",03/21/23,03/22/23,10:40 PM,12:40 AM,FALSE,TRUE,03/21/23,06:40 PM,08:40 PM,FREE,BUSY
03/22/23,01:10 PM,04:10 PM,Angels at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/22/23,03/22/23,04:10 PM,07:10 PM,FALSE,TRUE,03/22/23,12:10 PM,03:10 PM,FREE,BUSY
03/24/23,02:10 PM,04:10 PM,Rockies at Brewers,American Family Fields of Phoenix - Phoenix,"",03/24/23,03/24/23,05:10 PM,07:10 PM,FALSE,TRUE,03/24/23,01:10 PM,03:10 PM,FREE,BUSY
03/25/23,06:40 PM,09:40 PM,Guardians at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ",03/25/23,03/26/23,09:40 PM,12:40 AM,FALSE,TRUE,03/25/23,05:40 PM,08:40 PM,FREE,BUSY
03/26/23,02:05 PM,04:05 PM,Rockies at White Sox,Camelback Ranch - Glendale,"",03/26/23,03/26/23,05:05 PM,07:05 PM,FALSE,TRUE,03/26/23,01:05 PM,03:05 PM,FREE,BUSY
